interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
120.00;240.00;2min_agg;0;7.38;0;9;331159374;0;0;3.69;9;1.56;3.02;27.20;11.82;15.56;2.68;0.00
120.00;240.00;2min_agg;0;5.67;16;0;331162256#0;7;7;2.83;17;1.41;49.34;810.11;24.24;131.06;49.17;0.00
120.00;240.00;2min_agg;0;5.50;0;17;331162256#1;0;0;2.75;18;1.29;3.00;52.05;27.94;2.63;2.81;0.00
120.00;240.00;2min_agg;0;7.36;0;18;331162256#1.100;3;3;2.45;17;1.05;1.47;26.20;23.57;5.34;1.24;0.00
120.00;240.00;2min_agg;0;54.36;0;17;343227267;2;2;13.59;23;6.53;16.32;294.09;3.07;258.53;15.66;183.00
120.00;240.00;2min_agg;0;7.80;0;12;343227269#1;8;8;2.60;12;1.18;4.52;54.28;13.93;26.49;4.18;0.00
120.00;240.00;2min_agg;0;34.78;0;12;343227269#2;0;0;11.59;8;5.59;13.02;131.61;2.81;116.68;12.15;74.00
120.00;240.00;2min_agg;0;6.84;0;9;343227270#0;0;0;3.42;12;1.66;22.57;205.39;11.30;109.84;21.48;74.00
120.00;240.00;2min_agg;0;1.70;0;3;343227270#2;0;0;0.85;3;0.40;11.53;34.59;15.13;13.97;10.74;0.00
120.00;240.00;2min_agg;5;1.90;0;3;343227271#4;0;0;0.95;0;0.45;10.30;38.89;17.03;15.25;10.12;0.00
120.00;240.00;2min_agg;0;0.98;0;2;343227271#6;2;2;0.49;2;0.24;9.54;19.08;17.45;5.22;9.33;0.00
120.00;240.00;2min_agg;0;1.48;0;2;343227271#7;0;0;1.48;3;0.70;8.24;20.42;14.56;8.44;7.52;0.00
120.00;240.00;2min_agg;0;175.38;0;2;404673246#2;2;2;87.69;2;1.49;2.10;4.21;2.47;2.98;0.42;0.00
